Timestamp,What is your gender,What is your primary sexual/romantic preference,What is your Major/Master's/PhD,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability,Do you have an opinion?,Likeability,Dateability
3/24/2023 9:36,Woman,Man,Biology,Yes,7,4,No,,,No,,,No,,,No,,,Yes,3,3,Yes,9,10,Yes,7,8,Yes,8,9,Yes,7,8,No,,,No,,,Yes,9,9,Yes,8,8,No,,,Yes,9,9,Yes,8,9,No,,,No,,,Yes,7,7,No,,,Yes,6,7,No,,,No,,,Yes,4,4,No,,,No,,,No,,,No,,,Yes,6,9,No,,,No,,,No,,,No,,,No,,,Yes,3,6,No,,,No,,,Yes,9,9,No,,,No,,,Yes,7,9,Yes,7,9,No,,,Yes,7,7,Yes,5,5,No,,,No,,,No,,,No,,,Yes,6,9,No,,,No,,,No,,,No,,,No,,,No,,,No,,,,,,,,,Yes,6,7,Yes,7,10,Yes,8,8,Yes,6,6,No,,,No,,,Yes,2,3,Yes,9,9,Yes,10,10,Yes,7,9,Yes,9,7,Yes,9,10,Yes,9,9,No,,,No,,,Yes,2,2,No,,,Yes,10,10,Yes,10,9,,,
3/24/2023 9:39,Woman,Man,Nuclear Engineering,Yes,7,7,No,,,No,,,No,,,No,,,Yes,6,6,Yes,8,7,Yes,5,5,Yes,5,6,Yes,4,2,No,,,No,,,Yes,6,6,No,,,No,,,Yes,8,8,Yes,4,5,No,,,Yes,7,7,Yes,7,7,Yes,8,5,Yes,8,6,No,,,No,,,No,,,Yes,6,5,No,,,No,,,No,,,Yes,6,2,No,,,Yes,6,6,No,,,Yes,4,4,Yes,7,4,Yes,6,6,No,,,No,,,Yes,6,3,No,,,No,,,Yes,8,7,No,,,No,,,Yes,5,5,Yes,2,1,No,,,No,,,No,,,No,,,Yes,4,5,Yes,3,3,No,,,No,,,Yes,5,5,No,,,No,,,Yes,6,5,,,,,,,Yes,7,1,Yes,8,7,Yes,6,9,Yes,6,2,No,,,Yes,7,5,No,,,Yes,10,8,Yes,10,10,Yes,8,8,Yes,9,5,Yes,5,4,Yes,8,7,Yes,6,6,Yes,7,7,Yes,4,4,Yes,6,2,Yes,10,9,Yes,8,8,,,
3/24/2023 9:42,Man,Woman,Aeronautical Engineering,No,,,No,,,No,,,No,,,No,,,Yes,8,7,Yes,8,8,Yes,9,9,Yes,7,5,No,7,7,No,,,Yes,5,5,Yes,5,5,No,,,No,,,No,,,Yes,7,7,No,,,No,,,Yes,8,8,No,,,Yes,7,7,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,3,3,Yes,4,4,No,,,No,,,No,,,No,,,Yes,7,8,Yes,7,7,Yes,6,6,Yes,7,7,Yes,6,6,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,,,,,,,No,,,No,,,No,,,Yes,4,4,No,,,No,,,No,,,Yes,9,9,Yes,8,8,No,,,Yes,7,6,Yes,4,4,No,,,No,,,No,,,Yes,3,2,No,,,Yes,9,9,No,,,,,
3/24/2023 9:43,Woman,Man,Aeronautical Engineering,Yes,5,5,No,5,5,Yes,10,3,No,,,No,,,Yes,8,2,No,,,Yes,8,1,No,,,Yes,9,1,No,,,No,,,No,,,No,10,,Yes,8,,No,,,No,,,No,,,Yes,10,,Yes,8,,No,,,No,,,No,,,No,,,Yes,7,5,No,,,No,,,No,,,No,,,Yes,4,3,No,,,No,,,No,,,Yes,10,5,Yes,10,6,No,,,No,,,No,,,No,,,Yes,7,4,No,,,Yes,10,7,No,,,No,,,Yes,1,1,Yes,8,5,No,,,No,,,Yes,5,5,No,,,Yes,1,1,Yes,1,1,No,,,No,,,Yes,7,4,Yes,6,1,No,,,Yes,7,5,,,,,,,Yes,10,2,Yes,10,10,Yes,10,6,Yes,10,10,Yes,5,3,No,,,Yes,8,3,Yes,10,10,Yes,10,10,Yes,10,8,Yes,10,6,Yes,10,10,Yes,7,7,Yes,10,6,No,,,Yes,7,3,Yes,7,2,Yes,10,10,Yes,10,10,,,
3/24/2023 10:01,Man,Woman,Mathematics,Yes,8,8,Yes,8,8,No,,,No,,,Yes,8,7,Yes,9,5,Yes,8,4,No,,,No,,,Yes,8,3,No,,,No,,,Yes,9,6,No,,,Yes,8,7,No,,,No,,,No,,,Yes,9,4,Yes,8,5,No,,,No,,,Yes,8,8,No,,,Yes,8,9,Yes,6,3,No,,,No,,,No,,,Yes,7,6,Yes,5,4,Yes,5,4,No,,,Yes,3,2,Yes,8,4,No,,,No,,,No,,,Yes,8,8,No,,,No,,,No,,,Yes,4,1,No,,,Yes,7,7,Yes,6,5,No,,,Yes,7,5,No,,,No,,,Yes,7,8,Yes,7,8,No,,,No,,,Yes,4,3,Yes,4,3,No,,,Yes,5,5,,,,,,,Yes,8,8,Yes,8,8,Yes,8,8,Yes,8,8,No,5,,No,,,No,,,Yes,8,8,Yes,8,8,No,,,Yes,8,8,No,,,No,,,No,,,No,,,No,,,No,,,Yes,8,9,Yes,9,8,,,
3/24/2023 10:06,Woman,Man,Aeronautical Engineering,Yes,10,10,No,,,No,,,No,,,No,,,Yes,8,9,Yes,6,6,Yes,9,9,No,,,Yes,5,3,No,,,No,,,Yes,9,9,Yes,7,6,No,,,Yes,8,5,No,,,No,,,No,,,Yes,9,9,No,,,No,,,No,,,No,,,Yes,7,4,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,3,3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,,,,,,,Yes,6,4,Yes,10,10,No,,,Yes,7,8,No,,,No,,,Yes,8,8,Yes,10,10,Yes,10,10,Yes,10,10,Yes,10,10,No,,,No,,,No,,,No,,,Yes,6,6,Yes,8,8,Yes,10,10,No,,,,,
3/24/2023 10:13,Man,Woman,Mechanical Engineering,Yes,9,7,Yes,9,6,No,,,No,,,No,,,Yes,5,6,Yes,7,5,Yes,8,6,Yes,4,4,Yes,4,5,No,,,No,,,Yes,4,3,No,,,No,,,Yes,8,9,No,,,No,,,Yes,4,5,Yes,7,8,No,,,Yes,6,6,No,,,No,,,Yes,5,4,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,8,6,No,6,1,No,8,7,Yes,8,8,No,,,No,,,No,,,Yes,5,5,No,,,No,,,No,,,No,,,Yes,1,1,Yes,2,1,No,,,No,,,Yes,9,9,Yes,8,9,No,,,Yes,7,8,,,,,,,Yes,10,8,No,,,No,,,No,,,Yes,2,2,No,,,Yes,5,3,Yes,10,10,Yes,10,10,Yes,7,8,Yes,10,5,No,,,Yes,,7,No,,,No,,,No,,,No,,,Yes,10,10,No,,,,,
3/24/2023 10:15,Woman,Man,Biomedical Engineering,Yes,8,2,No,,,No,,,No,,,No,,,Yes,8,8,Yes,10,10,Yes,9,7,Yes,6,6,No,,,No,,,No,,,No,,,No,,,No,,,Yes,7,7,No,,,No,,,No,,,Yes,7,8,No,,,No,,,No,,,No,,,Yes,7,9,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,8,7,No,,,No,,,No,,,No,,,No,,,Yes,9,10,Yes,10,10,Yes,9,9,No,,,Yes,6,4,No,,,No,,,No,,,No,,,Yes,8,8,No,,,No,,,No,,,Yes,2,2,No,,,No,,,No,,,,,,,,,Yes,8,4,Yes,10,10,No,1,,Yes,6,6,No,,,Yes,4,1,No,,,Yes,10,10,Yes,10,10,Yes,10,10,Yes,9,8,No,,,Yes,8,7,No,,,No,,,No,,,No,,,Yes,10,10,Yes,10,10,,,
3/24/2023 10:22,Man,Woman,Civil Engineering,Yes,10,8,No,,,No,,,No,,,No,,,No,,,No,,,Yes,10,10,Yes,10,10,No,,,No,,,No,,,No,,,No,,,No,,,Yes,5,4,No,,,No,,,No,,,Yes,8,5,No,,,No,,,No,,,Yes,9,9,No,,,Yes,7,8,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,9,8,No,,,No,,,No,,,No,,,No,,,No,,,Yes,10,7,No,,,No,,,Yes,9,5,No,,,No,,,Yes,4,3,No,,,No,,,No,,,No,,,No,,,No,,,,,,,,,Yes,8,3,Yes,10,8,Yes,9,7,Yes,9,8,Yes,4,3,Yes,8,7,Yes,10,8,Yes,7,10,Yes,10,10,Yes,8,6,Yes,8,5,Yes,7,5,Yes,9,7,Yes,1,1,Yes,8,6,No,,,Yes,7,6,Yes,9,8,No,,,,,
3/24/2023 10:27,Man,Woman,Aeronautical Engineering,No,,,No,,,No,,,No,,,No,,,Yes,5,5,Yes,6,8,No,,,No,,,Yes,6,3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,7,9,No,,,Yes,6,8,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,3,3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,5,2,No,,,No,,,No,,,No,,,Yes,7,7,No,,,No,,,No,,,Yes,3,3,No,,,No,,,No,,,,,,,,,Yes,2,2,Yes,8,8,No,,,No,,,Yes,1,1,Yes,3,3,Yes,5,6,Yes,8,8,Yes,8,8,Yes,6,6,No,,,Yes,3,2,No,,,Yes,5,3,Yes,1,1,Yes,5,3,No,,,Yes,10,9,Yes,10,10,,,
